formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
11/06/2025,456530.24822455534,654,84,3467
10/06/2025,4.267812930680872e+06,2066,245,20594
09/06/2025,4.444241322993e+06,2040,345,20596
08/06/2025,2.581646078285838e+06,1637,154,16076
07/06/2025,2.349639575850726e+06,1623,142,16481
06/06/2025,3.637668800808787e+06,1975,214,20628
05/06/2025,4.238024263810319e+06,2264,246,27046
04/06/2025,2.7655538720164876e+06,2035,291,19030
03/06/2025,3.549090959898787e+06,2352,377,22966
02/06/2025,3.2299046763195884e+06,2098,388,24190
01/06/2025,3.1862904704853594e+06,2056,431,21807
31/05/2025,2.4990401879416294e+06,1863,231,18349
30/05/2025,2.762961245819472e+06,1950,275,18343
29/05/2025,3.4863035059061213e+06,2164,301,21131
28/05/2025,3.7302710527406684e+06,2155,331,21145
27/05/2025,5.72480724092782e+06,2278,343,22778
26/05/2025,4.275290561991729e+06,2363,390,23608
25/05/2025,4.081292306388122e+06,2031,291,21150
24/05/2025,3.523511274528424e+06,2150,414,21635
23/05/2025,4.55239059422036e+06,2395,367,26868
22/05/2025,6.186456365606031e+06,2695,512,29077
21/05/2025,5.818009608339421e+06,2622,537,26805
20/05/2025,5.5801616679438995e+06,2676,528,28363
19/05/2025,5.177127875011284e+06,2442,399,25369
18/05/2025,4.989854190199541e+06,2348,491,25249
17/05/2025,5.520515847749374e+06,2368,364,27945
16/05/2025,6.276425141228595e+06,2593,508,28844
15/05/2025,8.398262890559118e+06,2738,418,30964
14/05/2025,1.0840000933330826e+07,2640,262,35892
13/05/2025,1.1769645702868281e+07,2809,334,37873
12/05/2025,6.20436062902946e+06,2579,341,33503
11/05/2025,3.7490592813302046e+06,2006,134,22063
10/05/2025,4.0401344802273167e+06,2107,213,23144
09/05/2025,4.317641560433662e+06,2280,221,25712
08/05/2025,5.472305677624126e+06,2660,355,33075
07/05/2025,4.864808111059817e+06,2261,192,28628
06/05/2025,6.017103013786293e+06,2347,221,29268
05/05/2025,4.32162827817942e+06,2251,219,26948
04/05/2025,5.001821640137757e+06,2201,140,27109
03/05/2025,8.250165396953269e+06,2569,160,27067
02/05/2025,5.991275192028771e+06,2657,249,32808
01/05/2025,9.08609955900726e+06,2742,276,38468
30/04/2025,6.269753051912262e+06,2477,174,34688
29/04/2025,5.990644489195715e+06,2548,238,30838
28/04/2025,7.182072332530717e+06,2598,268,34446
27/04/2025,4.706125599051292e+06,2215,190,27738
26/04/2025,6.721794402571114e+06,2285,190,31063
25/04/2025,8.171295551512133e+06,2628,306,34715
24/04/2025,5.995700622107148e+06,2686,279,29429
23/04/2025,6.462090236612066e+06,4055,242,36167
22/04/2025,5.373121762480989e+06,3720,263,31438
21/04/2025,4.962401597894752e+06,3049,264,31361
20/04/2025,3.2708935877512586e+06,2577,137,21046
19/04/2025,3.6883747201238e+06,2187,173,23409
18/04/2025,5.164929760534031e+06,3666,258,30365
17/04/2025,4.950858871328121e+06,2360,252,31235
16/04/2025,6.099487662384911e+06,3705,264,35362
15/04/2025,5.765696060358283e+06,2859,239,33259
14/04/2025,4.702593436310603e+06,2370,218,29766
13/04/2025,4.0018915219052136e+06,3110,189,26754
12/04/2025,4.350898773275714e+06,3165,217,29788
11/04/2025,3.8224543344129827e+06,2933,180,28930
10/04/2025,3.908965641589925e+06,3300,196,30925
09/04/2025,4.885513745856099e+06,3696,266,35934
08/04/2025,4.2954892531701205e+06,2251,204,32473
07/04/2025,4.521518593734192e+06,2038,170,27743
06/04/2025,3.3181217306026425e+06,1882,155,22361
05/04/2025,3.344270335751622e+06,1968,157,24482
04/04/2025,2.947949074422286e+06,1967,173,22627
03/04/2025,3.3357016016936e+06,2025,172,23719
02/04/2025,4.0214773512462643e+06,2053,159,25666
01/04/2025,4.493534468728179e+06,2111,156,29934
31/03/2025,4.749420701599645e+06,3382,153,29160
30/03/2025,3.2180635969035546e+06,2180,154,22865
29/03/2025,4.365920149413758e+06,3131,203,28240
28/03/2025,5.098364438881927e+06,2724,215,33658
27/03/2025,4.462839568346092e+06,2136,184,26226
26/03/2025,4.876602470252271e+06,3474,212,28347
25/03/2025,4.612758083523021e+06,2239,186,25182
24/03/2025,5.345569356868198e+06,3592,312,32005
23/03/2025,2.887596777369797e+06,2536,223,20164
22/03/2025,1.7911372191831244e+06,2623,264,15730
21/03/2025,1.4545385007589092e+06,1557,132,12812
20/03/2025,2.642698825672292e+06,2647,273,18741
19/03/2025,2.3705849927466097e+06,2168,182,19422
18/03/2025,2.3817440088941213e+06,2465,240,19562
17/03/2025,3.107936949518027e+06,2176,187,24262
16/03/2025,2.6479623595960536e+06,1810,130,19169
15/03/2025,4.265929146879546e+06,2435,217,24458
14/03/2025,3.1384961433456526e+06,2586,379,24385
13/03/2025,3.8132929414856206e+06,2270,217,25277
12/03/2025,3.8114570834689694e+06,2610,435,25513
11/03/2025,2.8134998881858164e+06,1922,134,21090
10/03/2025,3.13289771372046e+06,1980,148,23007
09/03/2025,3.149532518000981e+06,2464,379,20838
08/03/2025,4.085676009523373e+06,2879,770,23900
07/03/2025,7.378600202879854e+06,2732,273,33121
06/03/2025,3.7103805277812965e+06,2479,289,26502
05/03/2025,4.337075089686944e+06,2545,314,28406
04/03/2025,3.242609818083918e+06,2143,219,21244
03/03/2025,3.541300265047905e+06,2397,249,22860
02/03/2025,3.5641562352751703e+06,2357,265,22214
01/03/2025,2.0045640387967718e+06,1866,147,17168
28/02/2025,2.580409787693718e+06,2070,164,19635
27/02/2025,3.247927253445171e+06,2357,269,23094
26/02/2025,3.201883275091026e+06,2177,144,20799
25/02/2025,4.0326824637959334e+06,2329,205,21273
24/02/2025,4.450347715729457e+06,2336,156,21938
23/02/2025,4.5270767465648865e+06,2354,215,21978
22/02/2025,3.8740632410467677e+06,2309,214,21804
21/02/2025,5.13177114140186e+06,2558,230,26056
20/02/2025,5.756373103270529e+06,2711,233,27288
19/02/2025,4.779265823964803e+06,2604,222,27336
18/02/2025,4.5387266128679365e+06,2601,209,26193
17/02/2025,5.342916743997715e+06,2621,197,27965
16/02/2025,5.40971537782661e+06,2528,200,26843
15/02/2025,8.616952173794324e+06,2759,228,29492
14/02/2025,1.0965414595675029e+07,3171,295,34276
13/02/2025,7.517124941880602e+06,3228,275,33264
12/02/2025,1.0034865004629627e+07,3502,299,46962
11/02/2025,1.603183672691522e+07,3839,331,56937
10/02/2025,2.0273835704702474e+07,3883,375,58554
09/02/2025,1.6406550263672927e+07,3340,231,47209
08/02/2025,8.227617430506753e+06,3010,272,34916
07/02/2025,1.1757012633463714e+07,3518,421,46956
06/02/2025,9.616486170948781e+06,3388,346,41917
05/02/2025,1.3788743015514724e+07,3575,351,47905
04/02/2025,1.100756604851201e+07,3438,304,42336
03/02/2025,1.1795954400643714e+07,3306,282,42534
02/02/2025,9.154989802963825e+06,2980,223,39129
01/02/2025,1.487516226617672e+07,3543,294,49138
31/01/2025,2.5850798769692995e+07,4178,382,68938
30/01/2025,3.85419505679653e+07,4441,437,84890
29/01/2025,2.002562062039639e+07,4151,362,63007
28/01/2025,2.2897495097130146e+07,4507,538,69217
27/01/2025,2.923716642370769e+07,4521,442,79197
26/01/2025,2.6488068084772736e+07,4225,309,71528
25/01/2025,2.5737619886467837e+07,4326,349,71146
24/01/2025,4.235315822905531e+07,4940,480,93795
23/01/2025,5.102172791449874e+07,5265,526,104008
22/01/2025,2.475865488098753e+07,4529,478,68739
21/01/2025,4.7398862007471584e+07,4728,506,77586
20/01/2025,6.4233481655348234e+07,6005,847,95039
19/01/2025,5.561124559326656e+07,6108,923,87495
