formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades,total_fees_usd
17/08/2023,492.2827142012006,14,14,50,0
18/08/2023,738.70922114478,13,10,67,0
19/08/2023,905.3180561916499,2,0,33,0
20/08/2023,830.6602750801959,7,4,27,0
21/08/2023,429.43264744295607,6,2,17,0
22/08/2023,429.797173194154,7,3,21,0
23/08/2023,2086.359137239904,13,6,80,0
24/08/2023,3180.828837248681,12,3,83,0
25/08/2023,1767.9831143821154,8,0,36,0
26/08/2023,1169.963942020722,2,1,20,0
27/08/2023,1712.0483080839342,6,2,40,0
28/08/2023,1190.100583168792,5,1,25,0
29/08/2023,635.919680138837,5,0,6,0
30/08/2023,600.434399228245,3,0,6,0
31/08/2023,283.356323652459,3,0,8,0
01/09/2023,72.81005742238399,2,0,2,0
03/09/2023,1748.730447868941,4,1,7,0
04/09/2023,328.63248567715,3,1,8,0
05/09/2023,38.512487343392,1,1,1,0
06/09/2023,36.782868309760005,1,0,2,0
07/09/2023,25.356176474556,1,0,2,0
08/09/2023,1875.0891572315481,2,0,2,0
11/09/2023,5196.498487692303,1,0,5,0
13/09/2023,2.391359535144,2,0,2,0
14/09/2023,13.834852335508002,1,1,1,0
15/09/2023,5.456076888028,1,0,2,0
16/09/2023,292.982798699,1,1,11,0
18/09/2023,3495.406328434727,2,0,7,0
19/09/2023,1396.122638728255,1,0,1,0
20/09/2023,4012.475409108909,12,10,31,0
21/09/2023,1337.3846520652537,6,1,17,0
22/09/2023,799.350359597487,4,1,28,0
23/09/2023,842.114623812696,2,0,2,0
25/09/2023,662.8379372785639,2,0,2,0
28/09/2023,6311.865467779433,3,0,9,0
29/09/2023,7591.268863248693,21,11,90,0
30/09/2023,4517.5777667452685,10,2,42,0
01/10/2023,5721.925566068285,12,0,54,0
02/10/2023,4590.153794867774,16,6,85,0
03/10/2023,5762.1609035502825,12,3,37,0
04/10/2023,273.701795309651,5,0,22,0
05/10/2023,94.65170077406701,3,1,5,0
