formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,solanaVolumeUSD,bscVolumeUSD,baseVolumeUSD,arbitrumVolumeUSD,ethereumNumberOfUsers,solanaNumberOfUsers,bscNumberOfUsers,baseNumberOfUsers,arbitrumNumberOfUsers,numberOfTrades,numberOfPairs,bribesETH,bribedBuyVolumeUSD,bribedSellVolumeUSD,numberOfReturningUsers,cumulative_numberOfNewUsers,solanaNumberOfNewUsers,solanaNumberOfTrades,ethereumBuyVolumeUSD,ethereumSellVolumeUSD,total_volume_usd,daily_users,daily_trades,total_fees_usd
11/06/2022,6071.28250097697,28,28,149.33176200722858,<nil>,5921.950738969742,<nil>,<nil>,1,0,27,0,0,269,107,<nil>,0,0,0,28,0,0,61.7478,87.58396200722858,0,0,0,0
12/06/2022,2905.3467663119563,24,6,0,<nil>,2905.3467663119563,<nil>,<nil>,0,0,24,0,0,200,95,<nil>,0,0,18,34,0,0,0,0,0,0,0,0
13/06/2022,2360.0723282852105,27,10,4.13941,<nil>,2355.9329182852102,<nil>,<nil>,2,0,25,0,0,130,50,<nil>,0,0,17,44,0,0,4.13941,0,0,0,0,0
14/06/2022,4739.089130581487,41,16,1.23531,<nil>,4737.853820581487,<nil>,<nil>,1,0,40,0,0,422,171,<nil>,0,0,25,60,0,0,1.23531,0,0,0,0,0
15/06/2022,4663.4245921977845,44,9,0,<nil>,4663.4245921977845,<nil>,<nil>,0,0,44,0,0,407,129,<nil>,0,0,35,69,0,0,0,0,0,0,0,0
16/06/2022,4356.3457332593,34,1,1.11799,<nil>,4355.2277432593,<nil>,<nil>,1,0,33,0,0,301,106,<nil>,0,0,33,70,0,0,1.11799,0,0,0,0,0
17/06/2022,8166.172045064294,44,9,0,<nil>,8166.172045064294,<nil>,<nil>,0,0,44,0,0,455,118,<nil>,0,0,35,79,0,0,0,0,0,0,0,0
18/06/2022,4140.776143257231,38,7,0,<nil>,4140.776143257231,<nil>,<nil>,0,0,38,0,0,294,89,<nil>,0,0,31,86,0,0,0,0,0,0,0,0
19/06/2022,6391.24928543169,46,8,417.1418432549511,<nil>,5974.107442176739,<nil>,<nil>,1,0,45,0,0,352,116,<nil>,0,0,38,94,0,0,113.11800000000001,304.0238432549511,0,0,0,0
20/06/2022,4628.952268976625,45,3,330.2518018207569,<nil>,4298.70046715587,<nil>,<nil>,1,0,44,0,0,379,121,<nil>,0,0,42,97,0,0,170.098,160.1538018207569,0,0,0,0
